Place of Publication,Year of Publication,Author,URL
Haarlem,1874[71]-88,"EKAMA, C.|ENSCHEDÉ, Adriaan Justus - Archivaris der gameente Haarlem|GERLINGS, H. - of Haarlem",http://www.flickr.com/photos/britishlibrary/tags/sysnum000053231
Albany,1867,"KIDDER, Frederic.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000053348
Boston,1892,"ROPES, John Codman.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000053627
Philadelphia,1880,"HOTCHKISS, Jed.|JACKSON, Thomas Jonathan.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000053628
Kjøbenhavn,1873,"BRUUN, Christian Walther.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000054811
Haderslev,1860,"MARCKMANN, Jörgen Wilhelm.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000054815
Copenhague,1878,"BEAUVOIS, Eugène.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000054819
Kiel,1846,"FALCK, Niels Nikolaus.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000054820
Kjøbenhavn,1864-72,"BRUUN, Christian Walther.|KRARUP, F.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000054828
"pp. vi. 216. Hatchards: London, 1888",,"FINNEMORE, Joseph - Artist",http://www.flickr.com/photos/britishlibrary/tags/sysnum000055031
Baltimore,1822,"Washington, George",http://www.flickr.com/photos/britishlibrary/tags/sysnum000056580
New York,1871,"A., S. O.|ALLEN, Sally Outram.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000056757
London,1829,"WHITTOCK, Nathaniel.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000056969
New York,1894,"SACHTLEBEN, William Lewis.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000056981
London,1848,"THOMSON, Thomas Richard Heywood.|TROTTER, Henry Dundas.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000057124
London,1897,"CRAWFORD, Robert - M.R.I.A|CUELLAR, Franciso de.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000058178
S. Paulo,1877,"LISBOA, José Maria.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000060280
Londini Gothorum,1823,"PETERSSON, Jacob.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000060798
Mamers,1891,"HERVÉ, Louis.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000061361
London,1814,"BRIDGES, George Wilson.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000062084
London,1824,"FORBES, Murray - Traveller",http://www.flickr.com/photos/britishlibrary/tags/sysnum000062125
London,"1885, [1884]","DEMPSTER, Charlotte Louisa Hawkins.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000062129
Edinburgh,1877,"SIDEY, James Archibald.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000063229
México,"1891, 92","CHAVERO, Alfredo.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000064513
Mexico,1847,"LÓPEZ RAYÓN, Ignacio.|RAMIREZ, José Fernando.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000064601
Paris,1853,"TERNAUX-COMPANS, Henri.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000064634
Porto,1841,"KOPKE, Diogo.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000064701
México,1856,"DURAN, Rafael.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000064829
Bruxelles,1850,"GACHARD, Louis Prosper.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000065026
London,1803,"ROSE, William Stewart.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000066142
Macerata,1874,"ALDAY, Augustin Jacques Marc.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000066840
London,1850,"PERCY, Anne Barbara Isabel.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000067034
London,1818,"BARTON, Bernard.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000067200
Tours,1881,"Louvois, François-Michel Le Tellier - marquis de",http://www.flickr.com/photos/britishlibrary/tags/sysnum000067519
